
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        23       698899          1478        681970          1169        443946          3690
        38       812930           834        770583           773        507975          2507
        50       821438           737        784209           726        508767          2318
        63       824984           845        785633           549        496545          2126
        73       825801           651        783301           765        493475          2184
        82       832993           926        787681           541        497026          2173
        94       841705           775        792318           589        494093          2169
       104       844707           691        796065           688        494300          1969
       114       840031           844        788926           423        490599          1899
       124       843321           782        789843           522        487032          1857
       134       847805           785        791052           606        483127          2018
       145       846495           597        791361           751        490641          2015
       154       848958           740        795569           695        487025          1970
       164       848050           663        792980           556        484025          1845
       176       846774           621        791292           628        481695          1841
       187       849462           730        792318           555        484169          1987
       194       853866           701        796753           655        478947          1961
       207       856803           696        801646           594        476637          1941
       216       848149           644        794460           582        484573          1773
       226       840968           663        789172           675        478855          1980
       237       848686           708        795458           651        481193          1982
       246       850910           692        796455           674        478319          2024
       255       849569           834        795516           621        473543          2071
       264       852176           698        797294           579        478487          1879
       275       842818           741        785555           653        467727          1964
       285       853608           720        796561           640        468433          2055
       296       857740           857        798683           543        464851          1970
       304       859783           731        801383           666        460001          2091
       314       861640           746        799683           593        460636          1950
       327       857302           756        797177           542        455841          1985

Final score for writes:           327
Final score for reads :        310374

