
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        25       663386          1385        622608          1311        425020          4155
        40       795934           794        732973           770        524066          2613
        57       798992           980        735150           619        519454          2437
        68       813772           818        742831           590        508973          2032
        78       815257           799        742998           635        517279          2002
        90       815531           691        744722           719        509636          2215
        99       801517           776        733488           620        496940          2014
       109       788614           780        720500           627        484898          2106
       120       778756           581        707354           676        479192          1878
       132       785577           811        716883           472        474755          1953
       142       796079           678        725882           669        474674          2037
       153      1586183           638        724594           737        481029          1989
       164       799390           719        729011           620        478254          2008
       173       818458           796        744142           632        482451          1887
       183       829992           793        752980           638        481068          1944
       194       841507           786        761041           606        488660          2011
       202       842411           789        763344           696        484548          2169
       213       846567           803        768751           675        491064          2210
       221       841453           655        764816           741        493142          1951
       230       843192           744        765947           593        484925          1909
       245       843358           783        764647           616        487267          2109
       253       846794           632        766148           751        491533          2069
       268       845761           780        766766           647        498532          2105
       280       842511           709        758988           691        486769          2009
       292       848867           769        764861           610        475811          1918
       303       852971           888        765923           573        479801          1945
       314       859566           678        774720           763        474954          1994
       322       862612           814        774398           603        466590          2124
       333       858686           772        769833           674        464599          2120
       343       858091           794        767122           554        463615          1954

Final score for writes:           343
Final score for reads :        323205

