
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        23       710102          1626        693157          1015        418494          3409
        35       830165           750        794910           756        474766          2354
        46       829625           751        800606           672        479082          2356
        54       831025           738        800092           621        472745          2045
        67       823405           800        793144           575        481948          2158
        76       838704           737        804195           642        481116          2071
        90       845357           867        803285           488        473422          2083
       100       842860           875        801711           525        474237          2112
       109       837667           722        797466           550        468292          1885
       119       837349           681        793842           685        472780          1956
       131       844477           712        801576           665        477352          1993
       142       847219           614        804127           701        472676          2021
       155       843217           761        801890           635        472760          2007
       164       846228           628        802296           549        474597          1692
       172       844544           706        802757           534        467455          1888
       183       845582           850        802392           540        467775          1960
       193       850874           736        806683           557        470052          1889
       203       847207           798        802026           574        467709          1968
       212       839880           714        796075           585        462816          1845
       221       839010           553        795347           715        462476          1957
       232       843749           660        799957           657        463767          1937
       241       850132           503        804440           770        467016          1964
       251       849070           636        803477           663        462678          1931
       262       841622           661        797002           592        469749          1868
       271       843667           652        798761           586        457149          1852
       280       843270           795        796854           554        459070          1988
       289       850527           715        800027           612        452436          2074
       300       848801           686        797610           671        456598          2128
       311       840704           787        791702           673        448943          2074
       321       831486           578        781438           697        438407          1993

Final score for writes:           321
Final score for reads :        294940

