
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       710507          1379        701111          1224        358072          3536
        33       826172           806        811670           785        435147          2435
        43       824764           817        810272           631        442055          2243
        51       818425           752        802125           575        432064          2024
        63       808366           679        791012           648        432793          2129
        75       814496           684        794758           666        433292          2069
        85       812465           611        792997           673        429581          2009
        94       804135           763        783322           634        435960          2005
       104       797134           734        777481           529        425000          1907
       115       801335           623        782106           660        420271          1988
       126       811772           683        793736           626        440301          1991
       135       820776           657        800201           647        444158          2018
       146       818210           637        797609           634        448098          1940
       155       817651           543        796903           565        446362          1681
       165       829592           651        808561           533        450399          1821
       174       831257           621        810617           639        443082          1921
       183       842672           766        820603           654        455830          2024
       190       852074           758        828772           546        455282          1973
       199       845896           761        822209           472        441681          1825
       208       838078           649        816323           690        437834          2009
       218       846274           564        823242           763        451459          2033
       230       848544           891        823985           526        450786          2026
       240       848747           694        824545           645        448226          2008
       251       838482           776        813747           455        452720          1874
       261       843225           587        817636           644        454365          1833
       272       848934           722        823090           627        455777          1939
       284       846104           794        817072           612        449968          2031
       293       846861           802        817025           595        443322          1985
       304       833593           620        804230           568        436862          1771
       316       827448           654        799829           635        425422          1853

Final score for writes:           316
Final score for reads :        272896

