
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        28       688899          1920        588126          1476        445897          4283
        44       803294          1056        675221           856        574813          2751
        57       818184          1002        697400           789        565236          2512
        69       823608           903        694911           673        548662          2031
        81       838678           977        704417           581        543351          2124
        92       838363           837        703024           842        548611          2156
       105       841555           978        705790           648        543394          2086
       117       834122           949        692360           578        546879          1953
       128       837840           806        693833           707        536460          2091
       142       854534           756        711299           879        520573          2101
       155       843038           885        704193           820        514343          2246
       166       855339           870        711814           665        524908          2112
       177       850238           835        709272           581        516274          1837
       187       846979           746        709205           770        509615          1996
       197       854136           757        715737           780        512842          2176
       207       858858           621        727591           881        521502          2038
       219       855967           854        723585           698        512033          2127
       232       851529           844        721784           744        504847          2113
       244       852854           682        720132           839        507318          2057
       255       848215           819        721148           772        507649          2306
       265       855716           960        726747           651        507485          2098
       279       857536           822        729590           739        499032          2161
       289       863246           840        730081           678        498049          2185
       299       860235           772        727079           741        496836          2047
       310       859944           821        729421           726        481209          2162
       322       858342           748        726693           741        479982          2102
       335       862317           918        730490           663        470003          2269
       348       859236           874        724412           841        475117          2224
       360       865008           963        729472           630        473072          2174
       371       861325           790        726227           701        464915          2154

Final score for writes:           371
Final score for reads :        379527

