
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        56       770659          2874        544709          3150        409907          6296
        82       878322          1198        629764          1255        499124          2777
        97       902460          1036        643683           689        503992          2094
       112       918121           883        637135           712        492161          1703
       129       916779          1037        626983           874        473190          2019
       142       939048           820        631211           656        472517          1744
       156       936932           742        631770           654        483720          1564
       166       942902           623        634614           567        482731          1529
       177       933001           603        627048           621        496790          1619
       190       920341           731        628045           763        505647          1689
       200       911800           807        623219           696        505928          1667
       213       918319           667        634468           799        504168          1555
       225       923536           776        636273           710        501193          1663
       237       922846           764        640460           699        488329          1569
       247       929047           883        637166           455        492171          1550
       253       946759           408        646342           541        489546          1278
       261       935040           538        645229           619        503675          1307
       270       924293           682        642875           499        496625          1426
       281       926475           801        646629           571        493153          1488
       291       932690           591        644909           643        493258          1541
       306       910335           896        637972           780        491255          1673
       313       935756           574        654516           459        500586          1265
       319       939722           509        656350           380        507674          1233
       327       938325           447        653602           572        502454          1326
       337       921700           668        644950           569        501171          1425
       349       920633           623        642892           777        500034          1502
       364       913363           898        637379           783        494452          1784
       376       915543           681        641855           761        496799          1604
       386       929474           460        652444           522        499709          1305
       398       926039           643        648344           512        500062          1321

Final score for writes:           398
Final score for reads :        588667

