
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        20       704658          1330        692185          1255        370899          3604
        35       824441           692        798382           717        444492          2158
        47       822681           673        798703           656        445894          2070
        56       816041           751        791813           634        444458          2135
        67       826471           749        801088           629        446987          1991
        78       827788           737        800863           719        453578          2193
        88       842313           578        812398           687        453398          2024
       100       845667           540        814306           698        459460          2049
       111       847185           644        817158           578        444961          1813
       120       842854           664        813907           556        460988          1887
       131       848632           570        818161           716        458736          2027
       142       848556           689        817602           681        455536          2035
       153       847059           732        816681           635        455756          2073
       160       843775           587        813265           622        455051          1778
       169       842571           620        812931           613        449348          1925
       181       841061           697        811020           613        455740          1965
       190       841086           797        811540           514        457534          1951
       200      1676350           714        804104           591        455406          1977
       208       836898           665        805799           513        450092          1749
       219       827606           738        795496           582        439677          2033
       230       828336           797        795278           534        454470          2038
       240       826880           726        794218           666        447658          2047
       249       828809           741        793438           629        443510          1934
       257       816730           540        783832           671        443106          1893
       267       813325           617        780086           702        433968          1924
       281       816615           725        781585           606        434867          2007
       290       824175           626        787256           779        434804          2122
       301       846110           765        806434           578        448592          1912
       313       842299           677        803988           681        439196          1963
       325       846171           716        807622           637        442098          1941

Final score for writes:           325
Final score for reads :        280988

