
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        24       725535          1186        719665          1205        437181          3487
        37       844418           715        823662           669        471463          2316
        47       850282           701        823834           664        475864          2153
        55       856529           602        826841           651        462680          2001
        64       848646           703        819188           646        468507          2040
        78       855211           745        824457           593        473610          2093
        88       856066           674        824914           732        480942          2058
        97       853718           638        822473           721        484102          2116
       108       861031           783        826053           420        479289          1902
       115       859575           683        824067           517        476814          1864
       125       859674           635        822676           604        483924          1902
       135       864766           678        828745           579        482696          1993
       144       864250           772        827001           568        481147          1969
       153       862066           777        821835           576        478299          1895
       162       853927           670        811688           552        476181          1875
       171       859345           629        815707           620        475810          1796
       179       861229           666        817752           652        475755          1998
       193       862607           646        820386           650        474271          1953
       202       858223           616        814832           730        480582          1944
       210       853067           623        810305           527        471995          1847
       222       856978           608        813493           626        470890          1861
       232       861123           759        816249           583        476264          1954
       241       863582           671        819430           582        478311          1882
       249       859471           603        814716           746        473210          1999
       260       860065           773        810014           551        458097          1801
       270       859395           731        809695           620        456110          1943
       282       867139           769        815304           547        459686          1953
       291       868295           742        816553           635        454134          1924
       301       860725           638        807220           724        457487          1900
       308       857675           727        802238           518        450304          1941

Final score for writes:           308
Final score for reads :        298046

