
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        49       781937          2940        552785          2971        387508          6949
        73       930695          1287        674823          1312        427843          2763
        83       963955           649        695544           560        474810          1624
        99       944094           996        652454           665        474334          2041
       114       944560          1073        652175           806        465971          2050
       130       946103           936        650853           830        473952          1848
       143       954291           784        655813           802        464129          1835
       159       941108          1025        655819           851        463165          1882
       174       951329           834        663130           787        471927          1697
       184       961455           668        666174           634        463021          1618
       191       954080           571        666836           517        480687          1546
       203       954833           741        671291           543        488241          1429
       213       956595           810        670984           597        478266          1502
       229       935057          1015        658617           777        453921          1814
       237       961749           637        677286           549        469905          1406
       248       966546           698        679934           469        466477          1478
       256       965535           595        667815           391        489740          1325
       265       957925           585        663011           545        483778          1288
       278       954015           582        655459           677        486013          1625
       287       952953           664        661414           568        497270          1506
       302       931544           820        650522           857        483401          1646
       312       959194           685        668336           542        480428          1358
       320       956915           634        667341           551        486054          1488
       334       943623           780        660582           809        475947          1575
       349       932939           781        654891           762        473392          1655
       356       946874           650        670250           483        492027          1489
       371       934687           898        662530           764        480537          1751
       380       943895           721        666240           621        487838          1495
       392       941827           805        664227           670        464991          1516
       404       954629           437        674968           725        473981          1417

Final score for writes:           404
Final score for reads :        558202

