
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        24       688306          1617        604137          1574        447134          4068
        41       839303           979        733718           794        533296          2540
        52       854784           934        724077           769        531024          2471
        66       846886           878        716281           669        536334          2045
        80       848707           710        715899           878        534483          2165
        91       859810           878        714065           708        541399          2004
       104       863403           787        715259           733        534900          2110
       112       857389           798        710069           730        532338          2102
       124       855051           708        715807           703        528545          1956
       137       856233           833        712022           692        534634          1977
       149       861442           717        721902           820        535964          2033
       163       849087           684        715403           817        522908          2012
       175       847739           907        715778           696        531368          2050
       183       851810           754        715602           617        520227          2025
       194       857118           739        726437           755        521907          1998
       205       871157           868        731870           656        525986          2037
       219       870094           989        731148           661        513662          1994
       231       878326          1035        730684           591        493083          2145
       242       869290           577        723576           854        507384          1860
       254       862523           818        720256           731        489243          2131
       272       870241           891        720295           721        487617          2108
       289       875960           927        730158           591        486066          2119
       299       880720           863        728520           660        485528          2136
       311       874043           734        720493           715        478813          1889
       321       876713           830        724053           579        462286          2200
       334       874154           908        722635           807        467955          2291
       348       892562           931        737384           776        463896          2125
       358       887825           724        735305           859        455228          2350
       368       882904           929        735568           867        449653          2474
       381       876608           791        728225           658        443087          2194

Final score for writes:           381
Final score for reads :        375258

