
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        21       700055          1191        691884          1587        400966          3686
        36       842527           782        814806           724        480344          2536
        46       861671           722        815592           671        484740          2098
        57       860756           779        812350           592        470730          1917
        66       854667           752        795105           615        479682          2062
        78       858129           762        799435           687        489736          2177
        88       861821           777        803511           656        490694          2067
       100       862179           672        803804           724        497443          2030
       107       857916           501        795205           706        495358          1907
       116       858761           677        796716           655        487547          1941
       127       869395           717        805857           607        491817          1957
       141       867014           729        804928           614        491256          1979
       150       867919           679        805241           675        498713          1914
       163       857415           743        794234           579        486936          1824
       173       864936           605        800167           669        484916          1952
       188       859183           698        793074           749        490898          2212
       200       866773           656        799381           631        496768          2019
       209       864754           583        797263           792        495622          2047
       218       859884           755        791876           537        488860          1860
       228       856273           754        791931           765        479281          2091
       238       869027           809        801528           565        487298          1964
       248       870446           717        803342           598        487231          2057
       260       873795           825        805647           579        480063          1868
       268       865949           776        791577           560        478429          1851
       279       872159           927        793728           387        467814          1910
       291       877236           800        798768           620        463728          1974
       302       884845           573        803547           733        465976          1998
       311       884267           647        805642           656        471607          1976
       321       880381           580        801614           636        454857          1898
       331       877167           571        800272           710        450856          1991

Final score for writes:           331
Final score for reads :        312854

