
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        22       684708          1581        677654          1350        370990          4092
        34       830760           721        817704           769        441532          2353
        45       831952           648        810295           758        448900          2183
        58       835225           738        811422           576        447875          2032
        67       829696           702        805359           585        451889          2066
        76       846507           616        822298           692        454609          2025
        87       840927           828        818395           532        459178          2046
        97       848024           616        825123           751        458377          2108
       106       841415           824        815439           474        450832          1916
       116       844063           700        816197           538        456767          1907
       125       844100           738        813970           598        452726          2098
       137       852220           619        821106           705        456202          1933
       148       851157           681        819717           547        457590          1961
       157       830285           725        797168           596        446917          1914
       167       835623           716        800229           546        452263          1937
       176       839509           676        801973           625        448439          2003
       188       844179           759        807876           601        459821          1965
       198       860608           793        823386           572        455271          1876
       207       857490           562        818124           606        455194          1824
       216       862774           608        822902           634        457638          1919
       226       865954           781        826745           574        459104          1956
       235       869867           590        829176           721        458310          1896
       243       866672           732        828727           581        460807          1920
       252       858814           666        820233           576        453484          1812
       262       860573           748        818116           558        454301          1980
       272       863188           689        820259           737        450530          2081
       282       872012           737        828151           668        442865          1969
       293       868744           681        823221           704        440597          2064
       305       864383           677        819019           617        434958          1934
       314       868267           702        821370           597        436190          1940

Final score for writes:           314
Final score for reads :        285243

