
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        23       659215          1462        630167          1667        420059          4062
        36       838726           835        786702           702        487048          2219
        47       830899           864        761045           740        487294          2319
        61       820462           674        751971           629        472966          2017
        72       835459           826        755525           642        501407          2055
        86       848501           596        765873           853        512189          2163
        97       862006           730        772510           717        513838          2019
       108       861959           801        770564           618        511745          2121
       117       853534           764        764053           601        495791          1920
       129       858383           677        768905           699        506752          1899
       138       862281           689        774768           730        506334          2062
       148       863093           891        775115           547        505843          2011
       157       864902           698        775657           759        504659          1916
       166       860169           719        768567           604        494069          1869
       180       861142           797        772058           563        498734          1967
       193       865782           905        777145           560        491356          2110
       203       867385           706        777394           663        501666          2074
       213       869910           787        780889           547        495153          1952
       223       861949           711        771666           622        494135          1920
       233       863300           656        772280           698        490708          1926
       244       871411           815        779421           615        498336          1996
       258       869302           698        774875           728        493048          2087
       271       871026           820        772017           689        494323          2091
       281       866386           713        768629           657        478065          1969
       294       872942           868        776258           485        478133          2050
       306       875244           721        772886           745        479355          2056
       317       873370           747        773770           752        476769          2081
       326       881421           763        781349           671        470777          2029
       337       878819           680        781353           692        454277          1836
       350       878671           786        780334           585        457351          2148

Final score for writes:           350
Final score for reads :        332139

