
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        23       731189          1454        722537          1134        378208          3070
        35       846821           720        835836           734        439746          2225
        44       852461           798        835425           515        449635          2166
        57       847606           712        827697           500        444379          1969
        67       848079           631        827916           669        445800          1954
        79       853653           623        835132           652        455336          2041
        89       854190           835        835672           521        446328          2054
        99       852052           761        831631           591        448813          1939
       110       841407           606        816639           613        435784          1914
       120       843513           580        817596           637        452606          1909
       131       849919           663        821731           649        452305          1976
       142       845914           764        819496           593        453588          2111
       149       858680           672        830127           544        447326          1941
       157       845199           760        816004           523        438776          1927
       168       840585           749        809440           583        438961          2062
       179       836984           673        806302           703        451143          2064
       188       838830           735        808730           621        436214          1965
       200       833020           630        803188           630        428281          2025
       211       822026           709        790282           435        433079          1734
       222       821738           803        790327           458        417224          1796
       231       820580           612        790026           633        426228          1888
       242       815938           787        785813           524        428312          1976
       255       822818           942        792931           462        431450          2006
       265       814374           576        782582           584        425393          1754
       275       823322           736        789182           536        423895          1940
       283       839709           762        805282           619        437365          2006
       293       859929           631        822529           694        439174          1969
       303       864444           685        827753           676        442233          1979
       314       865134           665        827457           571        434670          1921
       321       868796           834        830250           417        423649          1872

Final score for writes:           321
Final score for reads :        274123

