suse.com 1 1151
cn.fujitsu.com 2 846
oracle.com 3 465
suse.cz 4 345
redhat.com 5 209
gmail.com 6 206
jp.fujitsu.com 7 95
fb.com 8 83
fusionio.com 9 77
giantdisaster.de 10 34
