
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        20       732681          1330        704597          1075        352101          3433
        34       843619           708        817761           723        447235          2377
        44       851766           811        821409           691        441905          2098
        55       844264           688        814036           567        438324          2016
        65       843525           756        815061           539        443545          2005
        77       852924           666        825679           667        442995          2028
        90       854814           724        828438           561        450130          1982
       100       858148           735        830210           596        450079          1890
       108       851581           689        824996           530        443730          1781
       118       850177           703        823371           605        453757          1938
       130       859533           784        831670           555        459165          1888
       140       858789           600        830475           770        454198          1937
       148       863764           757        834585           547        453298          1810
       157       854365           673        826047           653        443142          1840
       166       857267           701        829659           613        447940          1838
       179       861246           766        834015           535        447919          1878
       188       856890           575        831183           731        459742          1962
       198       861555           823        833939           506        450745          1880
       209       863318           748        834787           506        453052          1776
       219       854509           672        827163           590        443981          1805
       227       855517           780        827175           547        454395          1968
       234       862333           751        833557           554        454951          1944
       245       864271           847        833940           489        452425          1944
       253       861466           678        830589           636        451799          1876
       263       854247           639        823927           595        448044          1823
       272       862962           655        832460           599        448710          1818
       284       863345           814        832924           508        453838          1895
       293       865847           772        834834           555        443385          1938
       304       867014           630        836428           666        433093          1845
       315       856431           680        823949           560        431902          1906

Final score for writes:           315
Final score for reads :        278751

