
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        24       704168          1370        676784          1303        381937          3609
        35       850002           924        819388           630        457991          2374
        51       855700           753        818353           788        450723          2158
        63       852593           731        817434           544        453176          1802
        72       834134           527        802568           763        444754          1941
        83       852063           732        819266           574        452357          1956
        93       845679           754        813459           604        467712          2141
       102       854539           731        822768           612        466109          1969
       113       853402           679        821612           516        459728          1767
       124       848688           803        814603           496        457197          1911
       133       856439           845        822166           558        451598          2035
       144       859142           835        822149           563        457625          1999
       153       866352           611        826386           723        451049          1981
       165       856561           700        815129           605        461468          1863
       175       854178           546        814924           757        459963          1897
       185       858770           802        819501           541        459237          1967
       198       858752           727        818038           698        464362          2046
       208       863423           773        822257           584        465804          1925
       216       865906           540        825475           642        457918          1738
       227       852774           754        811471           549        457993          1829
       237       856755           704        815599           640        461861          1941
       247       863740           734        821517           607        455353          1984
       257       863379           694        822131           614        465205          1949
       267       861315           688        821125           615        463889          1777
       277       856916           651        816714           591        452714          1783
       287       851787           611        813412           678        451268          1905
       298       860439           775        820282           587        445935          1997
       309       869242           917        828581           480        445245          1915
       318       873556           665        834228           631        445657          1915
       330       869949           586        829927           674        438908          1836

Final score for writes:           330
Final score for reads :        284730

