
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        58       834816          3365        519211          3041        341522          6284
        71       950139           711        659550           920        465791          2112
        87       931441           983        662668           991        480367          2175
       101       936168          1051        662012           681        486969          1778
       115       945729           871        659566           804        477979          1847
       134       932423           917        648597          1068        480380          1974
       147       937639           957        654243           744        478549          1739
       162       955624           864        658072           727        464331          1499
       170       967973           628        658047           512        467795          1417
       181       974926           561        652675           452        473483          1240
       192       954820           545        640241           648        480397          1302
       202       959927           485        655464           518        490342          1293
       209       960319           413        654786           496        496795          1322
       220       942351           629        640041           473        504340          1526
       229       943778           703        642170           628        510815          1371
       243       924851          1104        631939           832        492556          1893
       252       953527           632        647249           610        502682          1266
       261       945358           645        641748           559        494095          1357
       270       955083           596        652512           469        495817          1331
       277       951956           467        651912           651        495953          1353
       289       935787           768        649419           842        489487          1557
       301       934879           560        646523           762        495263          1436
       309       952141           436        670289           532        498546          1383
       315       952224           393        671800           488        518957          1242
       325       941012           648        670413           498        506605          1381
       336       938263           711        660922           609        509797          1360
       348       937880           861        663039           593        506468          1493
       359       938501           739        659480           641        500954          1515
       371       936746           839        656463           625        491899          1399
       379       952079           404        669118           538        508159          1268

Final score for writes:           379
Final score for reads :        570850

