
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        25       723776          1411        631789          1211        453656          3342
        41       841312          1056        733701           588        522489          2383
        53       860468           743        746893           588        520758          2081
        64       837372           793        743614           586        510248          2100
        75       841548           781        755999           646        518594          1984
        86       852618           770        768784           585        522728          2001
        97       856160           905        770003           550        509001          1993
       110       854135           787        775200           637        509080          2012
       120       846164           794        764181           614        507056          1969
       130       845829           937        761160           508        510790          1926
       143       853947           773        766976           704        499696          2116
       155       860245           807        766377           652        495155          2008
       165       862297           830        763618           594        502275          1965
       176       857508           573        764227           714        502294          1768
       186       844967           717        752625           668        499547          2062
       201       856716           959        760392           644        497330          2010
       213       858344           771        761286           701        502027          2022
       226       859911           991        764864           462        505722          1906
       237       853714           793        756648           576        499837          1783
       245       850869           764        756102           620        503676          2045
       255       854920           813        761514           643        498702          1868
       266       860785           590        768038           705        505366          1800
       276       861022           798        769444           777        483639          2081
       288       863389           804        775400           685        476858          2075
       299       849762           818        761850           580        474396          1750
       309       835085           731        748447           600        462147          1774
       321       833794           865        749481           608        455288          1947
       331       853230           790        766695           709        464173          2037
       345       875291           949        782054           561        462934          1986
       355       868260           571        777030           709        460304          2077

Final score for writes:           355
Final score for reads :        333868

