
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        23       702342          1377        646410          1252        410968          3581
        37       841524           791        775016           727        496996          2375
        50       847086           848        777730           610        500794          2267
        61       841054           610        778407           748        489503          1990
        74       841182           823        783703           669        487576          2138
        83       852154           707        796008           643        496209          2045
        97       853414           769        795294           630        492741          1980
       104       853710           720        798588           577        491141          1948
       116       835909           871        781097           663        482762          2001
       126       849196           758        789612           600        487964          1968
       136       850398           883        788465           548        486086          1957
       146       827309           806        764004           592        469048          2016
       155       808989           623        743445           750        456168          1823
       167       798812           710        734971           561        460451          1776
       180       799909           770        739223           680        456654          1927
       193       816249           736        755769           628        464827          2042
       208       821864           781        756357           696        467257          1994
       220       809776           768        748539           596        466289          1838
       229       805252           790        740271           474        458470          1715
       242       802420           608        736945           581        462380          1844
       253       819904           778        753586           567        463745          1903
       267       848398           644        780766           710        482814          1868
       279       825536           664        761028           727        462833          1964
       290       821608           738        759194           631        453246          1897
       298       828281           805        765755           555        452163          1943
       309       823771           703        762460           742        447123          1958
       318       840736           614        779062           848        459161          2074
       333       863625           723        800370           684        458587          2039
       344       866570           681        800087           568        450247          1797
       354       867293           774        798977           579        445956          1954

Final score for writes:           354
Final score for reads :        305882

