
Frequency = 10 secs
Scratch dir = [/root/test/mmtests/work/testdisk/data]
Spawning 3 writers...
Spawning 1 rewriters...
Spawning 5 commenters...
Spawning 100 readers...
Benchmarking for 30 iterations.
The test will run during 5 minutes.

  Nb blogs   R articles    W articles    R pictures    W pictures    R comments    W comments
        26       714610          1863        571737          1365        455742          3778
        43       852878           933        692666           889        549994          2475
        54       867040           920        705121           741        543837          2162
        67       842152           689        706384           884        544178          2014
        79       847277           899        715025           664        543459          2197
        93       851591           890        718895           713        545834          2084
       105       850779           800        729110           839        538562          2130
       119       848362           746        727158           766        539049          2036
       130       847131           872        721596           720        540901          2028
       142       857618           928        732808           661        533405          2013
       156       862881           855        730410           654        527863          2070
       171       859792           951        724272           758        523501          2143
       183       857001           809        721061           759        518445          1972
       195       861750           882        728315           681        516327          1929
       209       855983           779        722766           813        525428          2103
       222       857108           908        720206           815        526005          2232
       231       862090           936        724691           555        521617          1990
       242       856263           727        717090           713        508760          1945
       253       857571           748        722475           801        508093          1998
       267       868856           829        731467           710        509661          2111
       279       870957           698        736042           840        505624          2074
       290       868775           860        739780           699        495061          2143
       300       870709           679        740217           801        494326          1876
       314       867260           682        742562           715        490346          1871
       327       874018           769        746096           727        485239          1987
       343       879224           727        752274           851        473315          2188
       359       887400           875        759006           793        466574          2224
       372       886119           821        752248           645        468083          2087
       386       869243          1084        737010           795        452269          2188
       409       876754          1395        739842          1242        446779          2187

Final score for writes:           409
Final score for reads :        379770

